#
# $Id$
#
# I realize one of the biggest problems with sending pages directly is the 
# lack of vendor-advertised paging central phone numbers.  So, I figure we
# should try to collect a list of them.  Should make things a lot easier.
#
# You can find this online at http://sendpage.org/pc.php (searchable)
# or as http://sendpage.org/PagingCentrals.txt in raw text.
#
# To make changes, corrections, etc, please send me some email at 
# pc-updates@outflux.net
# 

+-----+--------------------------+--------------------------+-------------------------+--------------------+-----------------+---------------+
| id  | vendor                   | region                   | notes                   | tap_access         | settings        | quirks        |
+-----+--------------------------+--------------------------+-------------------------+--------------------+-----------------+---------------+
|   1 | Skytel                   | National                 |                         | 800-759-6366       | 7e1             | ctrl=false    |
|   2 | Skytel                   | National                 | untested                | 800-933-6384       | 7e1             |               |
|   3 | Skytel                   | National                 | untested                | 800-679-2778       | 7e1             |               |
|   4 | AT&T Paging              | National                 | untested                | 800-724-7784       | 7e1             |               |
|   5 | Ameritech                | Chicago, IL              |                         | 312-514-9243       | 7e1             | shorttap=true |
|   6 | AirTouch                 | San Diego, CA            | untested                | 858-576-1783       | 7e1             |               |
|   7 | AT&T Paging              | San Diego, CA            | untested                | 619-893-0099       | 7e1             |               |
|   8 | Beeper Communications    | Israel                   | untested                | 972-3-6100081      | 7e1             |               |
|   9 | British Telecom          | UK                       | untested                | +44 (0)345 581 354 | 7e1             |               |
|  10 | Cellcom                  | Israel                   | untested                | 972-53-446-622     | 7e1             |               |
|  11 | Cellcom                  | Israel                   | untested                | 972-53-446-633     | 7e1             |               |
|  12 | Hutchison Telecom        | UK                       | untested                | +44 (0)941 100400  | 7e1             |               |
|  13 | Hutchison Telecom        | UK                       | untested,interactive    | +44 (0)973 100602  | 7e1             |               |
|  14 | ISDN                     | Germany                  | untested                | 0 16 90            | 7e1             |               |
|  15 | MobileNet                | Australia                | untested                | 018018767          | 7e1             |               |
|  16 | PageOne Communications   | UK                       | untested                | +44 1523 530 300   | 7e1             |               |
|  17 | Telecom                  | New Zealand              | Pagers,untested         | 026-4001283        | 7e1             |               |
|  18 | Telecomi                 | New Zealand              | Digital Phones,untested | 04-3844476         | 7e1             |               |
|  19 | A Better Beep            | Bakersfield, CA          | untested                | 805-334-7002       | 7e1             |               |
|  20 | A Better Beep            | Fresno, CA               | untested                | 209-778-9451       | 7e1             |               |
|  21 | A Better Beep            | San Luis Obispo, CA      | untested                | 805-542-4050       | 7e1             |               |
|  22 | A Better Beep            | Santa Barbara, CA        | untested                | 805-730-3118       | 7e1             |               |
|  23 | A Better Beep            | Santa Rosa, CA           | untested                | 707-523-6571       | 7e1             |               |
|  24 | A Better Beep            | Stockton, CA             | untested                | 209-762-3094       | 7e1             |               |
|  25 | A-Plus Communications    | Alabama                  | untested                | 800-921-6625       | 7e1             |               |
|  26 | AT&T Alphanumeric        | Dallas, TX               | untested                | 972-934-2797       | 7e1             |               |
|  27 | AT&T                     | National                 | untested                | 800-720-8398       | 7e1             |               |
|  28 | AT&T PCS Text Messaging  | National                 | Cellphones,untested     | 800-841-8837       | 7e1,4800,no crc |               |
|  29 | AT&T Paging              |                          | untested                | 801-596-9364       | 7e1             |               |
|  30 | AT&T Wireless            |                          | untested                | 800-368-4133       | 7e1             |               |
|  31 | AT&T Wireless            |                          | untested                | 888-299-9550       | 7e1             |               |
|  32 | AT&T Wireless            | Seattle, WA              | untested                | 206-622-7585       | 7e1             |               |
|  33 | AT&T Wireless            | Corpus Christi, TX       | untested                | 361-857-8231       | 7e1             |               |
|  34 | Advanced Paging          | New Orleans, LA          | untested                | 888-723-2337       | 7e1             |               |
|  35 | AirTouch                 |                          | untested                | 800-326-0038       | 7e1             |               |
|  36 | AirTouch                 | CA                       | CDMA cells,untested     | 888-287-7108       | 7e1             |               |
|  37 | AirTouch                 | Albuquerque, NM          | untested                | 505-883-1977       | 7e1             |               |
|  38 | AirTouch                 | Atlanta, GA              | untested                | 404-873-6337       | 7e1             |               |
|  39 | AirTouch                 | Austin, TX               | untested                | 512-873-8719       | 7e1             |               |
|  40 | AirTouch                 | Boise, ID                | untested                | 208-869-0004       | 7e1             |               |
|  41 | AirTouch                 | Dallas/Fort Worth, TX    | untested                | 817-265-1848       | 7e1             |               |
